team,championships,probability
Spain,230,0.23
Argentina,167,0.167
France,164,0.164
Brazil,89,0.089
Ecuador,72,0.072
Switzerland,39,0.039
Belgium,35,0.035
Germany,34,0.034
Mexico,31,0.031
Portugal,25,0.025
Colombia,23,0.023
Japan,19,0.019
Norway,15,0.015
England,13,0.013
Morocco,11,0.011
Turkey,7,0.007
Netherlands,5,0.005
Croatia,4,0.004
United States,4,0.004
Canada,2,0.002
Uruguay,2,0.002
Egypt,2,0.002
Austria,2,0.002
Sweden,1,0.001
South Korea,1,0.001
Iran,1,0.001
Czechia,1,0.001
Ivory Coast,1,0.001
