match_date,team_1_name,team_2_name,team_1_rating,team_2_rating,team_1_win_expectancy,team_1_form_score,team_2_form_score,form_score_difference,draw_probability
Round of 32,Czechia,Switzerland,1740,1891,0.295,6.5,4.1,2.4,0.095
Round of 32,Ecuador,Scotland,1938,1782,0.711,6.8,5.7,1.1,0.089
Round of 32,Japan,Morocco,1906,1827,0.612,7.2,10.7,-3.5,0.188
Round of 32,Brazil,Netherlands,1991,1948,0.562,8.1,5.2,2.9,0.238
Round of 32,France,Sweden,2063,1712,0.883,7.5,5.2,2.3,0.08
Round of 32,Germany,Norway,1932,1914,0.526,10.5,3.8,6.7,0.25
Round of 32,Mexico,Cape Verde,1915,1578,0.874,9.8,6.1,3.7,0.08
Round of 32,Croatia,Austria,1911,1830,0.615,3.6,8.1,-4.5,0.185
Round of 32,United States,Bosnia and Herzegovina,1766,1595,0.728,0.6,2.8,-2.2,0.08
Round of 32,Belgium,South Korea,1893,1758,0.685,10.0,4.5,5.5,0.115
Round of 32,Portugal,England,1986,2021,0.45,5.8,2.8,3.0,0.25
Round of 32,Spain,Algeria,2157,1760,0.908,7.1,7.3,-0.2,0.08
Round of 32,Canada,Egypt,1828,1696,0.681,4.8,6.1,-1.3,0.119
Round of 32,Argentina,Uruguay,2114,1892,0.782,8.7,1.4,7.3,0.08
Round of 32,Colombia,Ivory Coast,1982,1695,0.839,4.5,8.1,-3.6,0.08
Round of 32,Turkey,Iran,1910,1772,0.689,10.5,8.7,1.8,0.111
